barangay,population,land_area_km2,latitude,longitude,jun_per_capita,jun_sw,jun_density,jun_is_hotspot,jul_per_capita,jul_sw,jul_density,jul_is_hotspot,aug_per_capita,aug_sw,aug_density,aug_is_hotspot,sep_per_capita,sep_sw,sep_density,sep_is_hotspot,oct_per_capita,oct_sw,oct_density,oct_is_hotspot,nov_per_capita,nov_sw,nov_density,nov_is_hotspot,dec_density
Agusan,18485,6.28,8.48524,124.74900,0.42,7807.52,1243.63,,0.44,8183.37,1303.5,,0.46,8553.07,1362.39,,0.41,7497.85,1194.31,,0.41,7515.04,1197.04,,0.44,8179.22,1302.84,,
Baikingon,2930,5.57,8.46568,124.57111,0.47,1390.7,249.54,,0.46,1361.4,244.28,,0.45,1326.24,237.98,,0.47,1382.44,248.06,,0.47,1384.33,248.4,,0.48,1401.9,251.55,,
Balubal,6700,15.94,8.45186,124.77715,0.48,3208.67,201.3,,0.46,3061.27,192.05,,0.44,2980.87,187.01,,0.48,3211.58,201.48,,0.48,3202.9,200.93,,0.48,3215.16,201.7,,
Balulang,43315,7.19,8.44131,124.62700,0.41,17548.71,2441.39,,0.42,18328.38,2549.86,,0.45,19627.83,2730.64,,0.41,17563.41,2443.43,,0.43,18436.95,2564.96,,0.44,18862.77,2624.2,,
Barangay 1,180,0.09,8.47524,124.64269,0.46,82.99,958.58,,0.44,79.75,921.16,,0.45,81.37,939.87,,0.46,82.99,958.58,,0.47,84.92,980.84,,0.48,86.17,995.31,,
Barangay 2,60,0.04,8.47629,124.64251,0.48,28.75,800.17,,0.45,27.13,755.08,,0.43,25.93,721.68,,0.48,28.75,800.17,,0.48,28.86,803.28,,0.49,29.13,810.69,,
Barangay 3,110,2542,8.47616,124.64526,0.44,48.69,0.02,,0.46,50.89,0.02,,0.47,51.99,0.02,,0.45,49.79,0.02,,0.46,50.85,0.02,,0.47,51.42,0.02,,
Barangay 4,80,1296,8.47674,124.64341,0.47,37.43,0.03,,0.45,36.31,0.03,,0.47,37.27,0.03,,0.42,33.43,0.03,,0.42,33.45,0.03,,0.43,34.13,0.03,,
Barangay 5,50,984.8,8.47745,124.64374,0.42,21.09,0.02,,0.4,20.09,0.02,,0.42,21.09,0.02,,0.41,20.59,0.02,,0.41,20.61,0.02,,0.41,20.73,0.02,,
Barangay 6,40,0.04,8.47766,124.64141,0.42,16.65,440.01,,0.44,17.75,468.95,,0.43,17.29,457.04,,0.41,16.25,429.44,,0.41,16.28,430.18,,0.42,16.72,441.75,,
Barangay 7,560,0.07,8.47951,124.64179,0.46,257.75,3567.49,,0.47,264.47,3660.5,,0.44,247.67,3427.98,,0.47,263.35,3645,,0.47,264.59,3662.2,,0.48,268.1,3710.77,,
Barangay 8,100,0.03,8.47869,124.64347,0.44,44.22,1532.83,,0.45,45.32,1570.96,,0.43,43.42,1505.1,,0.42,42.25,1464.34,,0.42,42.46,1471.64,,0.43,43.46,1506.34,,
Barangay 9,140,0.03,8.47821,124.64516,0.37,51.58,1665.99,,0.39,53.96,1742.86,,0.42,58.16,1878.52,,0.37,52.39,1692.33,,0.37,52.44,1693.7,,0.38,52.72,1702.93,,
Barangay 10,570,0.05,8.48108,124.64195,0.39,223.61,4201.64,,0.4,229.31,4308.75,,0.42,240.71,4522.95,,0.38,217.97,4095.73,,0.38,218.3,4101.84,,0.4,226.77,4261.03,,
Barangay 11,170,0.03,8.48009,124.64395,0.46,78.22,2368.89,,0.45,76.52,2317.41,,0.4,68.21,2065.67,,0.46,78.22,2368.98,,0.46,78.62,2380.97,,0.48,80.83,2447.9,,
Barangay 12,265,0.02,8.47935,124.64549,0.4,106.3,4386.99,,0.42,112.12,4627.51,,0.47,125.16,5165.6,,0.41,109.18,4505.98,,0.42,111.04,4582.54,,0.42,112.54,4644.61,,
